Node;Highest score;Lowest score;Total generalization level;# Suppressed records;Non Uniform Entropy;Discerniblity;Precision;Distance RAU;Cost RAU
[0,4,0];0,988401233626625;0,988401233626625;4;32770;0,008946971657;0,013811329719;0,010136516319;1,0916655223997522;1,0920981544026376
[0,4,1];0,724009483781789;0,724009483781789;5;22365;0,220989822224;0,326874769948;0,221358290271;1,02541863511798;1,0237979540368976
[0,4,2];0,22704563530786182;0,22704563530786182;6;3238;0,681266900063;0,902028211386;0,571997237500;1,0;1,0
[0,4,3];0,1528850883487063;0,1528850883487063;7;351;0,824447569017;0,986032839366;0,570998162491;1,0098062578721023;1,0088405648798735
[0,4,4];0,17628289316913692;0,17628289316913692;8;9;0,973270606734;0,973360956077;0,521212128504;1,135378489190745;1,1426193496130779
[0,4,5];0,4333132967333604;0,4333132967333604;9;4;0,970667656497;0,751064776960;0,468454808942;2,1833916444027466;2,225118915017124
[0,5,0];0,9480394615119776;0,9480394615119776;5;30656;0,048477174380;0,077420830246;0,051960538486;1,0588531760153874;1,0577743499684322
[0,5,1];0,5787735105488763;0,5787735105488763;6;13378;0,415665820281;0,597222579718;0,377690188672;1,02541863511798;1,0237979540368976
[0,5,2];0,27620653572106524;0,27620653572106524;7;617;0,815049971155;0,980331569655;0,578118245135;1,0;1,0
[0,5,3];0,2654683546078731;0,2654683546078731;8;9;0,974703327312;0,992683498632;0,526221108359;1,0098062578721023;1,0088405648798735
[0,5,4];0,30276795666793443;0,30276795666793443;9;9;0,971476256821;0,945159866137;0,467227403367;1,135378489190745;1,1426193496130779
[0,5,5];0,5874010519681996;0,5874010519681996;10;0;0,968698075890;0,484597267283;0,412598948032;2,1833916444027466;2,225118915017124
[1,0,0];1,0;1,0;1;33229;0,000000000000;?;0,000000000000;*;*
[1,0,1];0,9997994211709316;0,9997994211709316;2;33219;0,000156588659;0,000300905876;0,000180569396;1,696859341410762;1,7226148664179348
[1,0,2];0,9705462001520446;0,9705462001520446;3;31764;0,022991035585;0,044081500773;0,023596525565;1,0600998542121678;1,058055069942843
[1,0,3];0,5103660816771847;0,5103660816771847;4;10223;0,407072059305;0,692188629829;0,348262364765;1,0;1,0
[1,0,4];0,30255581576871116;0,30255581576871116;5;0;0,984671850383;0,998630501500;0,467381135213;1,135378489190745;1,1426193496130779
[1,0,5];0,5874010519681996;0,5874010519681996;6;0;0,983178188851;0,987083394303;0,412598948032;2,1833916444027466;2,225118915017124
[1,1,0];1,0;1,0;2;33229;0,000000000000;?;0,000000000000;*;*
[1,1,1];0,9758652740018217;0,9758652740018217;3;31999;0,016999059274;0,037010567727;0,019790832487;1,0372940369145385;1,035925572801227
[1,1,2];0,6840670974330836;0,6840670974330836;4;17722;0,213304995685;0,466562287420;0,224645106125;1,0148547589223422;1,0135036887937732
[1,1,3];0,29483751206426145;0,29483751206426145;5;385;0,419427573560;0,987558627059;0,428517018167;1,0098062578721023;1,0088405648798735
[1,1,4];0,32334037194203114;0,32334037194203114;6;0;0,351216588571;0,993367929080;0,371349430043;1,135378489190745;1,1426193496130779
[1,1,5];0,6127308120712236;0,6127308120712236;7;0;0,288023195664;0,937472164803;0,313134669397;2,1833916444027466;2,225118915017124
[1,2,0];0,9985786300101565;0,9985786300101565;3;33154;0,001015701270;0,002256761462;0,001203983001;1,3593369799772317;1,3574350641023485
[1,2,1];0,9196732369064802;0,9196732369064802;4;29032;0,053882613326;0,126284138738;0,059413767312;1,0223392361388068;1,0217605226421804
[1,2,2];0,5096810393298978;0,5096810393298978;5;9008;0,311419474411;0,728663024657;0,303378167763;1,0;1,0
[1,2,3];0,31449360102213864;0,31449360102213864;6;201;0,350446085021;0,992264679388;0,349231295455;1,0098062578721023;1,0088405648798735
[1,2,4];0,34831052189144085;0,34831052189144085;7;0;0,269782582030;0,986919412193;0,285476223538;1,135378489190745;1,1426193496130779
[1,2,5];0,6431614790857534;0,6431614790857534;8;0;0,198657364050;0,876735268412;0,224191996515;2,1833916444027466;2,225118915017124
[1,3,0];0,9928207612486057;0,9928207612486057;4;32824;0,004962994437;0,012186465162;0,005694095401;1,0732271965667035;1,0738089744246404
[1,3,1];0,8071073174240444;0,8071073174240444;5;22617;0,129021764774;0,319292997916;0,130653674452;1,02541863511798;1,0237979540368976
[1,3,2];0,4179786647664636;0,4179786647664636;6;3039;0,359522299488;0,908024398561;0,317592988356;1,0;1,0
[1,3,3];0,35794663516865444;0,35794663516865444;7;95;0,292426874733;0,993783424449;0,275631090061;1,0098062578721023;1,0088405648798735
[1,3,4];0,39565009884954727;0,39565009884954727;8;0;0,202823004323;0,973951473896;0,207438101377;1,135378489190745;1,1426193496130779
[1,3,5];0,7008533594284618;0,7008533594284618;9;0;0,125175797804;0,754342674792;0,143364466555;2,1833916444027466;2,225118915017124
[1,4,0];0,9654700325211101;0,9654700325211101;5;30975;0,025739674459;0,067822387470;0,027351910231;1,02541863511798;1,0237979540368976
[1,4,1];0,692002595750776;0,692002595750776;6;14075;0,230999613617;0,576260507700;0,203233384313;1,02541863511798;1,0237979540368976
[1,4,2];0,45964400850459874;0,45964400850459874;7;1185;0,346979962926;0,963309517004;0,274662086874;1,0;1,0
[1,4,3];0,4412908351047742;0,4412908351047742;8;84;0,242249139335;0,990871473591;0,208060323302;1,0098062578721023;1,0088405648798735
[1,4,4];0,48173512741650226;0,48173512741650226;9;0;0,146082460527;0,948784325591;0,137049630184;1,135378489190745;1,1426193496130779
[1,4,5];0,8057636160574659;0,8057636160574659;10;0;0,062908618551;0,517064726872;0,070460017976;2,1833916444027466;2,225118915017124
[1,5,0];0,9061442478383337;0,9061442478383337;6;24305;0,100064125156;0,268515745469;0,093855752147;1,02541863511798;1,0237979540368976
[1,5,1];0,678261506869827;0,678261506869827;7;6031;0,346911059681;0,818130057932;0,247671791637;1,0148547589223422;1,0135036887937732
[1,5,2];0,5903238417941545;0,5903238417941545;8;125;0,320783445237;0,994102721231;0,223238196185;1,0;1,0
[1,5,3];0,5941062981849974;0,5941062981849974;9;0;0,191840926600;0,986334341184;0,143364466555;1,0098062578721023;1,0088405648798735
[1,5,4];0,6411174909499875;0,6411174909499875;10;0;0,088757409530;0,894052339965;0,069021230789;1,135378489190745;1,1426193496130779
[1,5,5];1,0;1,0;11;0;0,000000000000;0,000000000000;0,000000000000;2,1833916444027466;2,225118915017124
